input_index,input_x1,input_y1,input_theta0,input_theta1,output_v0,output_delta0
0,-0.0999999999999998,0.15,1.5707963267948966,1.5707963267948966,0.120672934,-0.10456291
1,-0.10039244071434618,0.21046329398048222,1.5185148725893836,1.5816513514449093,0.13005602,-0.103716284
2,-0.10109284525057473,0.2756843728013625,1.4666567305710654,1.5796141046377887,0.078231655,0.23648961
3,-0.10052118150314053,0.31437285055413183,1.5849015350129942,1.5362964073638514,0.058628228,0.16889372
4,-0.09918752936744235,0.34434453793582365,1.6693483973529677,1.5181279884652572,0.017760761,0.30417013
5,-0.09826461531810417,0.3566418399598041,1.8214334631946425,1.4763492051420573,0.053243265,0.2739814
6,-0.09532752742280709,0.38636151767780613,1.9584241593864302,1.4706077016161443,0.123916864,0.17866065
7,-0.09154929453240693,0.44495568825722065,2.0477544824269156,1.542834151441838,0.18576497,0.057319105
8,-0.09479211360882023,0.5295542652907734,2.0764140347626547,1.6698235616008603,0.21500279,-0.040349826
9,-0.11135225681994562,0.6290421743665812,2.056239121654306,1.792577111945768,0.22459087,-0.16722345
10,-0.14074936701440505,0.734062893011144,1.9726273948934416,1.8836370763300938,0.22210202,-0.25153562
11,-0.17763332979174962,0.8386632733223969,1.8468595827606062,1.9255142694343992,0.20891055,-0.15936181
12,-0.2135293213392572,0.9369794601961094,1.7671786780145506,1.9123518207927372,0.20428792,-0.113875896
13,-0.24602032730311685,1.0334240618254809,1.7102407301452498,1.8778535348376906,0.20347548,-0.07600537
14,-0.27444144100116175,1.1303153940582376,1.6722380454328398,1.8346854450015346,0.20501554,-0.04893425
15,-0.29875551809699163,1.2290489835217984,1.6477709198978285,1.7909235164842976,0.20781273,-0.031376034
16,-0.31921181040232444,1.3302207010820317,1.6320829028871398,1.7510785995750464,0.20175375,-0.0661087
17,-0.3357830155594723,1.4293817292942572,1.5990285510804991,1.7214874177366521,0.18046555,-0.14035913
18,-0.34849516016068915,1.518751734149955,1.5288489843395094,1.7002307330114348,0.16992567,-0.09901312
19,-0.35799189661373804,1.6026944547003912,1.4793424243715148,1.6659468447562742,0.17768289,-0.1207197
20,-0.36473245706195445,1.690721957828257,1.4189825738456587,1.6274070889182317,0.18377846,-0.144824
21,-0.367942711051233,1.781867507992128,1.3465705747392516,1.5831443406713597,0.17416862,-0.11784658
22,-0.3668630183511394,1.867823489942633,1.2876472855594496,1.5329008859250672,0.17186548,-0.10900691
23,-0.3614512957706061,1.9523069327721092,1.2331438298013548,1.4806441860382005,0.20179942,-0.0481548
24,-0.3491292080907367,2.0504078142174564,1.2090664292362074,1.4135047022963718,0.122001626,0.21150461
