input_index,input_x1,input_y1,input_theta0,input_theta1,output_v0,output_delta0
0,-0.0999999999999998,0.15,1.5707963267948966,1.5707963267948966,0.13209744,-0.063893095
1,-0.10025405864876945,0.21609443213729818,1.5388497794654707,1.577080128738164,0.08202149,-0.039359167
2,-0.10052033859570898,0.25715084224509394,1.5191701958563666,1.5770360153095027,0.065660104,0.019739851
3,-0.10057851573231898,0.2898939021462104,1.529040121534143,1.5684479713111588,0.041972023,0.04948084
4,-0.10042277477075078,0.3108188633196689,1.55378054181603,1.5586684754753553,0.017716965,0.05978383
5,-0.10027149036733121,0.31971905099336234,1.5836724574354033,1.549146667254735,-0.0018737447,0.0589986
6,-0.10029204355552442,0.3189438699899224,1.6131717572596411,1.5391593202813387,-0.014333695,0.06730674
7,-0.10055232698509232,0.31214429986780345,1.6468251282956938,1.5256706477721649,-0.027444258,0.07411724
8,-0.10125997678516507,0.2991453928774201,1.6838837499406676,1.5066677576400955,-0.042466305,0.08127211
9,-0.10280540231429942,0.27930049254809347,1.7245198051121573,1.4785921882667963,-0.06832114,0.10807695
10,-0.10641169181180156,0.24844940586926562,1.778558281311069,1.4280335633163215,-0.10438609,0.2273228
11,-0.11443193899352497,0.2076252490682862,1.8922196822848658,1.3170473120583712,-0.044617936,0.27438486
12,-0.11688920578677622,0.19939178777964167,2.029412110396896,1.234768039721119,0.08363089,0.2304403
13,-0.1059737770376701,0.23479836118113365,2.1446322622385363,1.3098693350361241,0.14574885,0.17741898
14,-0.09563757511278342,0.2908695019087464,2.233341750749622,1.463718079633186,0.16931911,0.10514328
15,-0.09438834893499642,0.358439474610603,2.285913390168224,1.6339566714712053,0.12853424,0.005991876
16,-0.10104882398884078,0.41144570431746585,2.2889093282308917,1.7526709465309815,0.14762457,-0.15942557
17,-0.11679286968241058,0.47309965189488123,2.209196542450462,1.8790678385604838,0.21852964,-0.35956645
18,-0.15526520785574188,0.5698819547688296,2.0294133173909525,1.9997183754536907,0.21619944,-0.28976542
19,-0.20224934987671497,0.6678436714129619,1.8845306086030345,2.0259222338389278,0.20655937,-0.15728487
20,-0.2462650090811198,0.7611212970836962,1.8058881732311587,1.9947300388293896,0.20617001,-0.10892023
21,-0.28608775993986924,0.8552601530000286,1.7514280575003962,1.9468683223735124,0.20316702,-0.07442398
22,-0.320551116876959,0.9496406797836584,1.7142160656538348,1.8957382133922687,0.200212,-0.050240144
23,-0.34986007147423287,1.0442909863763765,1.6890959935870509,1.847721451068985,0.20567997,-0.030356318
24,-0.3754981405735671,1.1430054485443208,1.6739178347077708,1.803738360968835,0.21262534,-0.008979544
25,-0.39782714231779587,1.2463048925319784,1.6694280626860003,1.7656139871510688,0.19982745,-0.077393666
26,-0.41610496146795584,1.3443823901844656,1.6307312297311167,1.7435491843373194,0.18362512,-0.12722589
27,-0.4310678196586367,1.4349762756699216,1.56711828435329,1.723202577440141,0.1694514,-0.15011652
28,-0.4429147656096941,1.5188209489504514,1.4920600252833705,1.696817382153645,0.14633486,-0.10214533
29,-0.45080226496788495,1.5909787302418994,1.440987360724483,1.6618657817929616,0.1519651,-0.103177115
30,-0.45615240465961127,1.6659792699336387,1.3893988030639033,1.6216673919134648,0.15806189,-0.10965277
31,-0.4584138584091069,1.7440386310870972,1.334572416790996,1.5773809201760087,0.17318198,-0.11165877
32,-0.45676857219602723,1.8293746736247034,1.2787430333581309,1.525464824526113,0.18896124,-0.1119795
33,-0.4498368362466614,1.9221122079240722,1.2227532836284976,1.4670437111259207,0.18147121,0.031448707
34,-0.4375961176941615,2.0098050113912875,1.2384776371207575,1.4013672883610473,0.097269386,0.12561378
35,-0.4285931272487624,2.0565649145104063,1.3012845265355448,1.3626531450931738,0.01150761,0.19344631
36,-0.4273032718023125,2.0622004147530455,1.3980076807227473,1.3304974027483356,-0.043684877,0.16732904
37,-0.43255423036777013,2.0422889184041444,1.4816722022977213,1.293628366370492,-0.09411575,0.10963279
38,-0.4457981509384028,1.999963092307226,1.5364885973420481,1.238366400009076,-0.14217457,0.0071287453
39,-0.47002594933704994,1.93759921067674,1.5400529700007777,1.158644489798644,-0.19477496,-0.19685952
40,-0.5115591091439528,1.8531139265101237,1.4416232081737856,1.0696678684263599,-0.20803992,-0.35801494
41,-0.5643107704766502,1.7629908757387545,1.262615737566028,1.0204707638668857,-0.19489975,-0.26224887
42,-0.6166336470496919,1.6799783706772153,1.131491300710712,1.002496005696722,-0.21014562,-0.14679562
43,-0.6739097758891428,1.5916600014619264,1.058093492933784,0.9921114057997665,-0.21946211,-0.11970027
44,-0.7338403462663512,1.4995969870162755,0.9982433589783053,0.999457114489759,-0.236994,-0.09232621
45,-0.796524571418816,1.3993703570237768,0.9520802545037608,1.029337614260403,-0.25751486,-0.04809667
46,-0.8594483348756216,1.2883889595527942,0.928031918653522,1.0865375731889138,-0.25443348,-0.031840518
47,-0.9124414987758777,1.1762809248853032,0.9121116595950465,1.1798110792510779,-0.23426455,0.06806363
48,-0.9501600998372056,1.0699708016711276,0.9461434754219393,1.2846735182034525,-0.19715399,0.19262639
49,-0.973789181428275,0.9765301453902087,1.0424566688623766,1.360385410814208,-0.21273297,0.2961203
0,-0.0999999999999998,0.1722222222222222,1.5707963267948966,1.5707963267948966,0.13075179,-0.086626336
1,-0.10034242137480064,0.23768248843400208,1.5274831588056426,1.5793695787079853,0.072147965,-0.008412495
2,-0.10056474031816412,0.27372945461424525,1.5232769111779074,1.5745697814036248,0.05603433,0.03397529
3,-0.10053584499720528,0.30166096340680515,1.5402645553138594,1.5653642421348033,0.031526864,0.05516468
4,-0.10037266992801847,0.3174046629763141,1.5678468952563147,1.5558355318924184,0.00898142,0.05859402
5,-0.10028256980825724,0.32198382281644333,1.5971439043667655,1.5465445078703792,-0.0068327095,0.062327787
6,-0.10037731410430761,0.3188012718583009,1.6283077980068068,1.5353679174508288,-0.019404735,0.06984027
7,-0.10077330999590757,0.30958682586832403,1.6632279316571097,1.5200044711157814,-0.033083793,0.07656962
8,-0.10173434350949082,0.29398404813824336,1.7015127400544028,1.4979379211607768,-0.049440317,0.08463161
